run_id,status,is_success,time_s,path_efficiency,freq_hz_avg,cpu_percent_avg,ram_mb_avg
nav_metrics_7629.json,success,True,117.09987630600062,0.7173870676630302,9.503316467284487,,
nav_metrics_8828.json,success,True,143.8000379389996,0.7718728342380051,8.754861801022395,,
nav_metrics_9031.json,success,True,122.5028155229993,0.7886563614470284,8.963151857092251,,
nav_metrics_11833.json,scared_success,False,215.19981422599994,0.6674430295486884,8.038239545067078,10.294476744186047,294.34009811046514
nav_metrics_12310.json,success,True,139.599505401,0.691893736251566,9.310900459352297,9.206025179856116,294.51017311151077
nav_metrics_10565.json,success,True,156.79918516399994,0.49326101752614215,9.278582916829485,9.088057324840765,297.01868531050957
nav_metrics_10936.json,success,True,140.99975240099957,0.7371480263420269,8.543699940717245,9.553102836879432,293.7245401152482
nav_metrics_9241.json,cancelled,False,66.90063218500109,0.3097724032086451,9.694530516608463,,
nav_metrics_10928.json,in_progress,False,7.400676971999928,10.349214232408103,8.594828433814573,10.350000000000001,293.91796875
nav_metrics_10361.json,success,True,152.40016617200126,0.6540457541743413,9.169845234712833,9.290625,295.52163856907896
nav_metrics_10039.json,success,True,128.79985530799968,0.6155386354949223,8.979740219844578,9.8775390625,295.69989013671875
nav_metrics_11570.json,success,True,146.9001207679994,0.655797095853315,9.596727459746619,8.958333333333334,291.4359587585034
nav_metrics_11215.json,scared_success,False,234.8005985029995,0.5857750166386132,8.4142794655392,9.688457446808512,293.8933676861702
nav_metrics_9906.json,success,True,110.59993469699839,0.7795472582411435,9.550790886519149,8.708108108108108,288.3989653716216
nav_metrics_9339.json,success,True,128.59866135999982,0.7019441227186858,9.434640982422984,,
nav_metrics_8486.json,success,True,140.79996121099975,0.654020246020314,8.604017648609668,,
nav_metrics_11119.json,cancelled,False,35.19986817800054,5.545272532505768,9.378190358631647,9.0425,295.8299107142857
nav_metrics_9497.json,success,True,153.50148010999874,0.5985222831977178,9.640970188064962,,
nav_metrics_10193.json,success,True,134.10004468099942,0.7643439352258805,8.807952632247055,9.886194029850747,294.8612989738806
nav_metrics_10751.json,success,True,148.60041016200012,0.5806120440238008,9.41408444226624,8.986486486486486,296.8510082347973
